"scientificName","Ecology","Biology","Dispersal"
"Amblycheila baroni Rivers, 1890","Ecology. Stenotopic, saxicolous, xerophilous, pholeophilous, crepuscular, epigean-fossorial (adult), fossorial (larva). Woodland (juniper, oak) canyons and craggy montane peaks: base of cliffs and boulders. Somewhat shaded ground, dry rocky soil. Larval habitat: A woodland canyon. Crepuscular: hides during the day in self constructed burrows, rodent burrows, rarely under large stones or logs. Gregarious.","Biology. Seasonality: June, July (mostly), September. Third-instar larvae: July. Adult food, in the laboratory: tenebrionid adults and larvae, drosophilid flies, and other insects. Larval food, in the laboratory: tenebrionid larvae. Larval parasites: bombyliid flies. Defense mechanism: Retreating to deep rocky fissures when disturbed. Best collected by bait trapping or pitfall trapping.","Dispersal power. Subapterous. Slow runner."
"Amblycheila cylindriformis (Say, 1823)","Ecology. Eurytopic, steppicolous, xerophilous, pholeophilous, myrmecophilous, crepuscular, epigean-fossorial (adult), fossorial (larvae). Banks, cliffs, gullies, ravines, ditches, and river bluffs Situated in hilly prairies, grasslands, cultivated lands, and pastures. Open ground, sloping, well-drained, dry, clayey (rarely sandy or rocky), bare or sparsely vegetated soil. Adults tend to walk at night in the vicinity of animal burrows or mesquite clumps, near the bases of or along the sides of clay banks. Larval habitat: Dry, clay banks and cliffs, often near mammal burrows, larval burrows (35-97.5 cm deep) nearly vertical for about 45 cm, turning to a subhorizontal position in their lower part, each larval colony limited to a 25 cm radius and usually consisting of 2 to 11 individuals. Nocturnal, mostly crepuscular, occasionally active on warm cloudy afternoons, usually hiding in the daytime and on cold days in self-constructed burrows, rodent burrows (gopher, kangaroo rat, badger), rattlesnake burrows, ant mounds, sometimes in yucca clumps and under stones or other objects, larva coming near the soil surface after sundown or earlier on cloudy days. Associated species: Pasimachus (carabids) and Eleodes (tenebrionids).","Biology. Seasonality: May-September. in KS, mostly June. Summer species. Mating: May. Oviposition: Groups of one to two dozen eggs deposited near the soil surface. Third-instar larvae: May and August. Omnivorous, predaceous, necrophagous. Adult food, in the field: caterpillars, acridid nymphs, cerambycids, scarabaeids, tenebrionids, ants, spiders, dead insects, carrion, and dried yucca petals. Noise of individuals shredding yucca petals can be heard at quite a distance. Adults sometimes cannibalistic. Adult food, in the laboratory: caterpillars, locusts, other insects, and fresh meat. Larval food, in the field: Ants and other insects (e.g., an adult Cicindela). Sight very poor. Predators: skunks, birds, and spiders. Defense mechanism: immediately retreating underground when emerging from its burrow and seeing movement; making no attempt to escape when disturbed outside of its burrow; sometimes delivering a painful bite when captured. Best collected with a flashlight in the earliest part of a warm, calm evening or by baiTier pitfall trapping. Not shy.","Dispersal power. Subapterous. Slow runner. When on the move, raising body very high and keeping the antennae in constant motion. Note. Before it was known to be nocturnal, the species was considered a rarity and commonly valued at 15 to 20 dollars each; for instance, the type of the beetle was sold for $300 by Thomas Say, and the second specimen, captured about 20 years later, was purchased for $50. By trading several hundreds specimens of this valuable tiger beetle as high as 25 dollars each, the well-known Professor F.H. Snow of the University of Kansas at Lawrence, the discoverer of its favorite haunt, was able both to consolidate an important general beetle collection at his university, and provide his collecting students a substantial amount of money to cover their university expenses for a whole year. As soon as the nocturnal habits of this species became known to the public, the price immediately went down to 50 cents per specimen."
"Amblycheila hoversoni Gage, 1991","Ecology. Stenotopic, silvicolous, psammophilous, pholeophilous, nocturnal, epigean- fossorial (adult). Mostly scrublands; also rangelands. Mostly shaded ground; well-drained, moist or dry, sandy soil mixed with silt and clay. Nocturnal; active after midnight; hiding during the day in animal burrows and leaf litter.","Biology. Seasonality: April-November, except June. Predaceous. Adult food, in the field: adult and larvae of camel crickets, spiders, and other arthropods. Adult food, in the laboratory: caterpillars, crickets, beetles, millipedes, and centipedes. Predators: various birds.","Dispersal power. Subapterous. Slow runner."
"Amblycheila picolominii Reiche, 1839","Ecology. Stenotopic, xerophilous, saxicolous, epigean. Rocky areas. Open ground; bare, dry, rocky soil. Nocturnal; seen active at dusk.","Biology. Seasonality: April-July.","Dispersal power. Subapterous. Slow runner."
"Cicindela blanda Dejean, 1831","Ecology. Stenotopic, riparian, hygrophilous, psammophilous, epigean. Banks and bars along large blackwater rivers (mostly) and brooks. Open ground; wet, white, mostly sandy, sometimes clayey or muddy, bare soil; moving to higher adjoining trails when stream banks become flooded . Diurnal; active even when raining. Gregarious, swanning by the hundreds. Associated species: C. wapleri, C. repanda repanda, and C. hirticollis hirticollis.","Biology. Seasonality: May-September, mostly June-July. Summer species. Mating: July, even in the rain. Tenerals: July. Defense mechanism: cryptic coloration - body color, with its extended white maculations, blending perfectly with the white sand; flying farther and harder to capture than C. wapleri when pursued. Quite wary.","Dispersal power. Macropterous. Good flier. Attracted to artificial lights at night. Fast runner.",
"Cicindela californica mojavi Cazier, 1937","Ecology. Eurytopic, coastal, riparian, hygrophilous, halophilous, epigean. Tidal marshes and adjacent beaches, shores of saline lakes and playas; muddy salt flats. Open ground; wet, sandy or muddy, saline soil. Both diurnal and crepuscular. Gregarious, occurring in large numbers.","Biology. Seasonality: July, September- October. Mating: May. Defense mechanism: When pursued, escaping by short flights.","Dispersal power. Macropterous. Good flier. Attracted to artificial lights at night. Fast runner.",
"Cicindela californica pseudoerronea Rumpp, 1958","Ecology. Stenotopic, riparian, hygrophilous, halophilous, epigean. Salt flats and alkali flats along river beds and natural spring streamlets. Open ground; moist or wet, muddy soil. Diurnal and crepuscular.","Biology. Seasonality: April-June.","Dispersal power. Macropterous. Attracted to artificial lights at night. Fast runner.",
"Cicindela cazieri Vogt, 1949","Ecology. Stenotopic, silvicolous, xerophilous, epigean. Limestone scrub woodlands; edges and dirt sides of a highway. Open ground; dry soil consisting of limestone. Diurnal. Associated species: C. schauppii.","Biology. Seasonality: October. Very wary.","Dispersal power. Wing condition unknown. Fast runner. Conservation status. Rare species.",
"Cicindela celeripes LeConte, I 848","Ecology. Eurytopic, steppicolous, xerophilous,. epigean. Grasslands, prairie hillsides, clay hilltops, sand hills, prame bluffs, gullies, sides of railroad embarkments, forest paths, and vicinity of streams. Open ground; dry, usually consisting of clayey or sandy loam, sometimes sand, bare or vegetated with short grass or scattered grass clumps. Diurnal. Solitary.","Biology. Seasonality: May-August, mostly July. Summer species. Mating: July. Defense mechanism: When pursued, skillfully escaping capture by running through the vegetatiOn and hiding under grass clumps; when captured, producing defensive secretions. Quite wary. Very difficult to approach.","Dispersal power. Subapterous. Fast runner, moving like a large ant.",
"Cicindela chlorocephala smythi E.D. Harris, 1913","Ecology. Stenotopic, coastal, psammophilous, epigean. Sea beaches. Open ground; wet sandy soil. Diurnal. Associated species: C. dorsalis venusta.","Biology. Seasonality: June.","Dispersal power. Macropterous. Fast runner. Conservation status. Rare subspecies.",
"Cicindela circumpicta circumpicta LaFerte-Senectere, 1841","Ecology. Eurytopic, coastal, riparian, h~grophilous, hal?philous, thennophobous, epigean. Sea beaches, tidal flats, estuanne flats, margins of ocean inlets, lagoons edges, salt flats along lake shores, alkali flats along streams, ponds, and lakes; edges of drainage ditches. Open or shaded ground; wet, muddy, often saline, bare soil. Both diurnal and crepuscular; hiding under cover in hot sunshine. Associated species: C. severa severa, C. togata togata, C. hamata manti, C. ocel!ata rectilatera, and C. pamphila.","Biology. Seasonality: May-October; in NE, mostly June-July. Summer species. Predaceous. Adult food, in the field: acridids.","Dispersal power. Macropterous. Good flier. Often attracted to artificial lights at night. Fast runner.",
"Cicindela circumpicta johnsonii Fitch, 1857","Ecology. Eurytopic, hygrophilous, halophilous, thermophobous, heliophilous, epigean (adult); fossorial (larva). Salt flats, tidal flats, salt marshes; saline banks of rivers, brooks, alkaline drainage ditches, roadside ditches, small salty spots in fields and pastures; alkaline flats of river banks and lake shores; small alkaline grassy areas in prairies. Preferably close to the water's edge. Open ground; mostly wet, occasionaly dry, saline, often muddy soil more or less mixed with clay or sand, with bare spots surrounded by clumps of vegetation. Adult tending to occur in bare areas close to grass fringes. Larval habitat: Sloping brook banks, in the vicinity of hummocks among low vegetation, and margins of small flats; burrows (third instar) vertical, ranging from I I to 29.5 cm in depth. Both diurnal and nocturnal, often crepuscular; hiding during the hottest part of the day and on cool days under dried cow chips and in the shade of grass clumps; inactive at about 36°C. Gregarious. Associated species: C. fulgida fulgida, C. nigrocoerulea nigrocoerulea, C. nevadica knausii and C. togata globicollis.","Biology. Seasonality: June-September, mostly June-July. Summer species. Duration of life cycle: 2 years. Mating: June (NE), often at night. Oviposition: In a saline pool; female depositing a single egg in each ovipositional hole. Pupation: Lasting 18-22 days. Predaceous. Adult food, in the laboratory: house fly larvae. Predators: Kestrels. Larval parasites: trombidiid mite larvae.","Dispersal power. Macropterous. Often attracted to artificial lights at night. Fast runner.",
"Cicindela circumpicta pembina Johnson, 1993","Ecology. Epigean. A small salt flat. Open ground; dark saline soil. Diurnal.","Biology. Seasonality: June-August, mostly July. Defense mechanism: Body color blending with dark surroundings; escape by flying but returning to open areas after a while when disturbed.","Dispersal power. Macropterous. Good flier. Fast runner. Conservation status. Rare species.",
"Cicindela columbica Hatch, 1938","Ecology. Stenotopic, psammophilous, thermophilous, epigean. Bars, beaches, and sand dunes along big rivers. Open ground; moist or dry sandy soil. Diurnal; quite active in hot weather. Gregarious. Associated species: C. hirticollis couleensis, C. oregona oregona, C. repanda repanda, and C. hemorrhagica hemorrhagica.","Biology. Seasonality: April-October, except July. Spring-fall species. Tenerals: August. Extremely wary.","Dispersal power. Macropterous. Fast runner. Conservation status. Species threatened by the construction of dams along the Columbia River.",
"Cicindela cuprascens LeConte, 1852","Ecology. Stenotopic, riparian, hygrophilous, psammophilous, epigean (adult); fossorial (larva). Beaches, bars, and flats along rivers and bh;:>oks. Usually close to the water's edge, but sometimes up to 6 m away from it. Open ground; moist or wet bare soil usually consisting of sand, but occasionally of mud or loam. Larval habitat: In burrows which are ragged at their edges or with crater-like entrances. Both diurnal and nocturnal. Gregarious. Associated species: C. hirticollis shelfordi, C. nevadica knausii, C. cursitans, C. macra macra, and C. repanda repanda.","Biology. Seasonality: May-October, mostly July. Summer species. Duration of life cycle: 2 years. Mating: June-July. Oviposition: July; fe11Jale digging many ovipositional holes in the sand, then depositing a few eggs in each. Larva migrating to a moister, cooler place when the soil gets too dry. Pupation: May. Overwintering in the larval (second and third instars) stage. Predaceous. Adult food, in the field: carabids, heterocerids, and dipterous larvae. Adult and larval food, in the laboratory: Lean meat. Defense mechanism: Cryptic coloration - body color blending with the background. Best captured in the daytime, even without a net, or at night, with a light trap or a flashlight. Not wary.","Dispersal power. Macropterous. Often attracted to a~tificiallights after dark. Fast runner.",
"Cicindela cursitans LeConte, 1857","Ecology. Eurytopic, riparian, hygrophilous, halophilous, epigean. Vicinity of rivers and streams, at 0.7 m to 50 m from the water's edge; also salt flats and roadside ditches. Open or slightly shaded ground; moist or wet, clayey, loamy or sandy (yellow sand), sometimes saline, sparsely vegetated soil. Diurnal. Solitary. Associated species: C. duodecimguttata, C. terricola terricola, C. cuprascens, and C. macra macra.","Biology. Seasonality: June-August, mostly June-July. Summer species. Mating: Lasting 5-15 min. (9- I 0 min. on average). Oviposition: Female digging many holes (about 4-6 mm deep) in the ground, then depositing a single egg in each hole. Predaceous. Adult food, in the field: ants. Adult food, in the laboratory: drosophilid flies, ants, leafhoppers, and tenebrionids. Defense mechanism: Escape by running. Wary. Difficult to approach.","Dispersal power. Flightless. Fast runner, moving like an ant.",
"Cicindela debilis Bates, 1890","Ecology. Stenotopic, steppicolous, psammophilous, epigean. Grasslands; hollows in pastures; sandy fields. Open ground; half-moist or dry, often sandy soil densely vegetated with grass. Larval habitat: grasslands; burrows dug into loamy or clayey soil. Diurnal; foraging and shuttling to shade at 30.2°C and 32.3°C respectively (AZ); active about 7 hours per day. Gregarious. Associated species: C. hornii hornii, C. lemniscata lemniscata, and C. sedecimpunctata sedecimpunctata.","Biology, Seasonality: July-November. Predaceous. Adult food, in the laboratory: adult and larval tenebrionids, flies, and other insects. Predators: lizards. Defense mechanism: either hiding at the base of grass clumps or escaping by short erratic flights less than 1 m long when pursued.","Dispersal power. Macropterous. Weak flier. Fast runner. Conservation status. Threatened species (AZ). Rapidly decreasing in grasslands.",
"Cicindela decemnotata Say, 1817","Ecology. Eurytopic, steppicolous, xerophilous, thermophilous, heliophilous, epigean. Roadsides, roadcuts, dirt paths, and cow paths. Open ground; dry, clayey, sandy, gravelly or silty soil with sparse grass or sagebrush clumps. Diurnal; usually sunning on warm soil. Solitary. Associated species: C. longilabris laurentii, C. purpurea audubonii, and C. nebraskana.","Biology. Seasonality: March-July, September-October. Spring-fall species. Mating: May-June; copulation lasting a brief period. Overwintering at least as in the adult stage. Defense mechanism: generally seeking cover through the vegetation rather than alighting again in the open. Adults being quite aggressive to each other in the laboratory. Very wary. Difficult to approach.","Dispersal power. Macropterous. Strong flier. Fast runner.",
"Cicindela denikei Brown, 1934","Ecology. Stenotopic, silvicolous, epigean (adult); fossorial (larva). Coniferous forests: along openings and roads. Open ground; soil consisting of sandy-silty till, more or less covered with mossy patches. Larval habitat: burrows (third instar, I 0-20 cm deep) opening directly under rocks or stones in silty-sandy till with a good amount of gravel and stones. Diurnal; hiding during cloudy days under moss.","Biology. Seasonality: May-September, mostly June-July. Oviposition: each female lays 3. 7 eggs per day on average. Tenerals: August. Pupation: August. Predaceous. Adult and larval food, in the laboratory: tenebrionid adults and larvae. Defense mechanism: Escape by flight.","Dispersal power. Macropterous. Good flier. Fast runner.",
"Cicindela denverensis Casey, 1897","Ecology. Stenotopic, steppicolous, epigean. Sloping banks, eroded banks, sloped banks, eroded gullies, and roadcuts in short-grass prairies. Open or partly shaded ground; sloping, dry or moist, clayish, sparsely vegetated soil. Diurnal. Gregarious. Associated species: C. scutellaris scutellaris and C. splendida.","Biology. Seasonality: February-June, September-November, but mostly April-May. Spring-fall species. Mating: May. Interspecific copulation observed with C. splendida. Tenerals: late fall. Adult food, in the laboratory: mealw01ms, other insects, and small earthworms. Defense mechanism: escape by strong flight. Very wary. Difficult to approach.","Dispersal power. Macropterous. Excellent flier. Fast runner.",
"Cicindela depressula depressula Casey, 1897","Ecology. Eurytopic, hygrophilous, epigean. Grasslands, meadows, forest clearings, roads, roadcuts, trails, and parking lots. Open ground; wet, bare or sparsely vegetated soil consisting of loam, clay, gravel or sandy pumice. Diurnal. Gregarious. Associated species: C. longilabris perviridis.","Biology. Seasonality: May-October. Defense mechanism: produces defensive secretions to deter predators.","Dispersal power. Wing condition unknown. Fast runner.",
"Cicindela depressula eureka Fall, 1901","Ecology. Stenotopic, coastal, riparian, hygrophilous, psammophilous, epigean. River banks and bars. Open ground; moist, sandy soil. Diurnal. Associated species: C. oregona oregona.","Biology. Seasonality: April-July, September.","Dispersal power. Wing condition unknown. Fast runner.",
"Cicindela dorsalis dorsalis Say, 1817","Ecology. Stenotopic, coastal, hygrophilous, psammophilous, hygrophilous, thermophobous, epigean (adult); fossonal (larva). Intertidal zone of sea beaches and barrier islands. Close to the water's edge. Open ground; wet, sandy, bare soil. Larval habitat: Mid-intertidal zone to several meters above the strand line, in an area ranging from 3 to 8 min width; burrows (third instar, 20-30 cm deep) straight and highly aggregated. Diurnal (mostly) and nocturnal; less. active on windy, cool or rainy days; tending to occur in early mormng on dry sand of back beach, then moving to wet areas near the water's edge to stilt and sunface to avoid excessive heat. Extensive pale elytral maculations reduce excess body heat. Larva closes its burrow when the temperature increases, when the sand dries or when the rising tide approaches the burrow level; larval burrow staymg open at night, except at high tide. Gregarious, occurring in great swarms.","Biology. Seasonality: April-October, mostly July. Summer species. Duration of life cycle: 1-2 years. Mating: mostly in late afternoon and during the night, lasting 6.1 min. on average; contact guarding often exhibited by the male after copulation. Oviposition: in the upper intertidal zone, in self-constructed burrows (5-8 cm deep) dug at night. Duration of larval life: 1-2 years. Pupation: June. Tenerals: June. Overwintering in the larval (second or third instars) stage. Predaceous, necrophagous. Adult food, in the field: small amphipods, insects, dead fish, crabs, and other carrion. Adult food, in the laboratory: tenebrionid adults and larvae, meat, and pieces of apple. Larval food, in the field: Small amphipods. Predators: asilid flies and lycosid spiders. Parasites: tiphiid wasps (on larvae); also mites found associated with adult body. A larval population was substantially diminished by flooding and erosion caused by a storm (MD). Defense mechanism: cryptic coloration - body color, with its extended white maculations blending perfectly with the wet, white sand or the shell debris on beaches; when disturbed, runs about one meter, then stops, and so alternately; when pursued, flies for short distances, alights in the surf and then returns in the foam to the shore, and then usually escapes. Extremely wary. Best captured with a flashlight at night. Elytral markings disappear under the wearing action of the sand as the season moves forward, hence individuals become immaculate late in the season.","Dispersal power. Macropterous. Good flier. Often attracted to artificial lights at night. Fast nmner. Long-distance disperser; able to move up to 10 - 15 miles from its breeding site. Conservation status. Threatened subspecies. Almost entirely extinct from the Northeast. Dramatically declining due to truck and dunebuggy traffic, stabilization of beaches, housing developments, camping, and oil-slicks.",
